,Date,Price,Open,High,Low,Vol.,Change %
82,2020-02-09,228.59,223.23,230.38,223.07,14.28M,2.40%
81,2020-02-10,222.95,228.61,229.28,217.02,16.50M,-2.47%
80,2020-02-11,236.76,222.94,238.61,218.22,17.39M,6.19%
79,2020-02-12,265.58,236.75,274.89,236.73,23.79M,12.18%
78,2020-02-13,268.75,265.59,277.39,257.09,25.05M,1.19%
77,2020-02-14,285.25,268.71,286.34,260.78,19.99M,6.14%
76,2020-02-15,264.87,285.17,287.93,262.45,22.26M,-7.15%
75,2020-02-16,259.99,264.87,273.81,237.89,24.82M,-1.84%
74,2020-02-17,267.63,259.92,268.45,242.11,25.61M,2.94%
73,2020-02-18,282.26,267.71,285.59,259.3,24.15M,5.46%
72,2020-02-19,259.12,282.33,285.75,253.88,20.76M,-8.20%
71,2020-02-20,257.39,259.07,264.22,246.46,22.07M,-0.67%
70,2020-02-21,265.11,257.32,267.8,254.15,17.46M,3.00%
69,2020-02-22,261.64,265.14,266.71,256.97,13.40M,-1.31%
68,2020-02-23,274.72,261.65,275.3,261.24,16.04M,5.00%
67,2020-02-24,265.65,274.72,276.81,258.15,19.96M,-3.30%
66,2020-02-25,246.96,265.63,266.17,245.75,20.31M,-7.04%
65,2020-02-26,224.3,246.97,250.05,216.39,29.55M,-9.18%
64,2020-02-27,227.53,224.3,238.07,210.36,28.83M,1.44%
63,2020-02-28,226.93,227.6,234.55,214.47,24.11M,-0.26%
62,2020-02-29,217.52,226.94,232.87,217.43,16.34M,-4.15%
61,2020-03-01,217.99,217.51,227.44,213.0,17.17M,0.21%
60,2020-03-02,231.87,217.96,234.24,216.23,18.12M,6.37%
59,2020-03-03,223.94,231.9,232.37,220.34,18.48M,-3.42%
58,2020-03-04,224.38,223.94,228.66,220.74,14.65M,0.20%
57,2020-03-05,228.45,224.36,233.96,224.34,17.82M,1.81%
56,2020-03-06,244.9,228.46,244.98,227.71,17.74M,7.20%
55,2020-03-07,237.32,244.87,251.55,236.87,16.90M,-3.10%
54,2020-03-08,199.16,237.3,237.3,196.71,24.76M,-16.08%
53,2020-03-09,202.85,199.21,208.23,190.73,30.27M,1.85%
52,2020-03-10,200.56,202.88,205.62,196.17,21.87M,-1.13%
51,2020-03-11,194.58,200.61,202.96,182.15,21.26M,-2.98%
50,2020-03-12,107.9,194.57,195.4,102.83,53.51M,-44.55%
49,2020-03-13,133.99,107.87,138.86,88.5,60.70M,24.18%
48,2020-03-14,122.69,134.02,134.58,121.27,26.83M,-8.43%
47,2020-03-15,124.35,122.67,132.13,120.93,26.24M,1.35%
46,2020-03-16,111.02,124.35,124.38,102.44,40.25M,-10.72%
45,2020-03-17,116.06,111.06,120.6,109.67,27.09M,4.54%
44,2020-03-18,117.77,115.95,117.91,110.16,25.80M,1.47%
43,2020-03-19,135.43,117.76,141.05,115.59,33.78M,15.00%
42,2020-03-20,133.32,135.43,151.85,118.07,38.74M,-1.56%
41,2020-03-21,132.58,133.32,137.33,126.01,27.00M,-0.56%
40,2020-03-22,122.41,132.59,136.86,121.37,25.25M,-7.67%
39,2020-03-23,136.02,122.46,136.93,120.2,28.62M,11.12%
38,2020-03-24,138.62,136.0,142.9,132.67,27.10M,1.91%
37,2020-03-25,136.07,138.59,141.88,133.06,24.15M,-1.84%
36,2020-03-26,138.38,136.08,139.22,133.69,17.71M,1.70%
35,2020-03-27,131.74,138.38,140.99,131.09,18.18M,-4.80%
34,2020-03-28,131.03,131.74,132.68,125.48,21.03M,-0.54%
33,2020-03-29,125.24,131.02,131.74,124.84,16.33M,-4.42%
32,2020-03-30,132.15,125.24,134.72,125.02,20.71M,5.52%
31,2020-03-31,132.86,132.15,135.14,130.54,17.30M,0.54%
30,2020-04-01,135.66,132.88,136.56,128.93,19.45M,2.10%
29,2020-04-02,141.3,135.65,148.91,135.26,29.42M,4.16%
28,2020-04-03,141.14,141.29,146.46,138.01,23.34M,-0.11%
27,2020-04-04,144.01,141.13,145.71,139.36,19.75M,2.03%
26,2020-04-05,142.58,144.03,145.26,140.84,18.17M,-0.99%
25,2020-04-06,171.06,142.58,171.24,142.55,37.89M,19.97%
24,2020-04-07,164.71,171.07,175.78,162.75,35.79M,-3.71%
23,2020-04-08,173.0,164.71,174.23,163.73,24.31M,5.03%
22,2020-04-09,169.68,173.01,173.2,165.91,20.66M,-1.92%
21,2020-04-10,157.86,169.67,170.1,152.52,28.35M,-6.97%
20,2020-04-11,158.18,157.85,161.37,154.01,19.07M,0.20%
19,2020-04-12,158.73,158.18,164.75,155.17,22.60M,0.35%
18,2020-04-13,156.38,158.76,158.85,150.6,25.30M,-1.48%
17,2020-04-14,158.45,156.36,161.57,155.52,21.20M,1.33%
16,2020-04-15,152.9,158.43,161.06,152.44,20.70M,-3.50%
15,2020-04-16,172.31,152.9,174.28,148.91,32.99M,12.69%
14,2020-04-17,170.63,172.32,174.52,168.55,20.05M,-0.97%
13,2020-04-18,187.45,170.63,189.22,170.61,24.75M,9.85%
12,2020-04-19,180.13,187.47,188.23,177.24,23.27M,-3.90%
11,2020-04-20,170.4,180.12,186.24,167.51,33.68M,-5.40%
10,2020-04-21,170.79,170.37,174.48,168.31,23.63M,0.23%
9,2020-04-22,182.72,170.79,183.71,169.93,23.81M,6.99%
8,2020-04-23,185.46,182.72,192.4,178.54,28.73M,1.50%
7,2020-04-24,187.58,185.48,189.33,185.19,19.84M,1.14%
6,2020-04-25,194.01,187.57,197.35,186.03,21.87M,3.43%
5,2020-04-26,197.35,194.01,199.3,192.52,23.13M,1.72%
4,2020-04-27,196.14,197.35,198.8,190.87,23.33M,-0.61%
3,2020-04-28,196.55,196.13,197.51,192.47,21.81M,0.21%
2,2020-04-29,215.4,196.55,218.32,196.45,32.87M,9.59%
1,2020-04-30,206.22,215.42,227.05,202.59,35.46M,-4.26%
0,2020-05-01,212.0,206.23,216.99,206.06,23.08M,2.80%
